country_name,year,life_ladder,social_support,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Kazakhstan,2022,6.006,0.923,0.883,0.022,0.72
Kazakhstan,2023,6.299,0.929,0.901,0.05,0.812
Kenya,2015,4.358,0.777,0.793,0.209,0.853
Kenya,2016,4.396,0.706,0.749,0.288,0.828
Kenya,2017,4.476,0.715,0.853,0.225,0.854
Kenya,2018,4.656,0.707,0.821,0.282,0.844
Kenya,2019,4.619,0.676,0.818,0.3,0.794
Kenya,2020,4.547,0.674,0.702,0.251,0.837
Kenya,2021,4.465,0.702,0.678,0.313,0.841
Kenya,2022,4.448,0.691,0.706,0.292,0.878
Kenya,2023,4.496,0.703,0.736,0.316,0.8
Kosovo,2015,5.077,0.805,0.561,0.177,0.851
Kosovo,2016,5.759,0.824,0.827,0.12,0.941
Kosovo,2017,6.149,0.792,0.858,0.112,0.925
Kosovo,2018,6.392,0.822,0.89,0.264,0.922
Kosovo,2019,6.425,0.843,0.841,0.242,0.92
Kosovo,2020,6.294,0.792,0.88,0.302,0.91
Kosovo,2021,6.648,0.849,0.84,0.258,0.842
Kosovo,2022,6.16,0.888,0.865,0.208,0.846
Kosovo,2023,6.878,0.807,0.9,0.285,0.811
Kyrgyzstan,2015,4.905,0.857,0.813,0.194,0.858
Kyrgyzstan,2016,4.857,0.914,0.814,0.051,0.917
Kyrgyzstan,2017,5.63,0.883,0.859,0.138,0.874
Kyrgyzstan,2018,5.297,0.898,0.945,0.262,0.907
Kyrgyzstan,2019,5.685,0.877,0.92,-0.008,0.885
Kyrgyzstan,2020,6.25,0.902,0.935,0.101,0.931
Kyrgyzstan,2021,5.564,0.904,0.918,0.199,0.903
Kyrgyzstan,2022,5.668,0.927,0.948,0.23,0.876
Kyrgyzstan,2023,5.91,0.946,0.943,0.145,0.899
Laos,2017,4.623,0.707,0.891,0.068,0.592
Laos,2018,4.859,0.705,0.907,0.136,0.634
Laos,2019,5.197,0.729,0.906,0.055,0.62
Laos,2020,5.284,0.66,0.915,0.136,0.748
Laos,2021,4.927,0.65,0.927,0.037,0.668
Laos,2022,4.962,0.659,0.891,0.091,0.706
Laos,2023,5.486,0.678,0.904,0.099,0.724
Latvia,2015,5.881,0.879,0.656,-0.084,0.808
Latvia,2016,5.94,0.917,0.685,-0.163,0.868
Latvia,2017,5.978,0.895,0.7,-0.161,0.798
Latvia,2018,5.901,0.913,0.608,-0.218,0.799
Latvia,2019,5.97,0.936,0.698,-0.2,0.789
Latvia,2020,6.229,0.928,0.82,-0.086,0.809
Latvia,2021,6.353,0.954,0.815,-0.104,0.84
Latvia,2022,6.055,0.928,0.817,0.018,0.844
Latvia,2023,6.296,0.932,0.816,0.059,0.8
Lebanon,2015,5.172,0.742,0.597,0.066,0.889
Lebanon,2016,5.271,0.828,0.657,0.021,0.853
Lebanon,2017,5.154,0.777,0.605,-0.088,0.911
Lebanon,2018,5.167,0.829,0.607,-0.081,0.907
Lebanon,2019,4.024,0.866,0.447,-0.098,0.89
Lebanon,2020,2.634,0.547,0.552,-0.139,0.884
Lebanon,2021,2.179,0.507,0.423,-0.164,0.905
Lebanon,2022,2.352,0.535,0.45,-0.13,0.883
Lebanon,2023,3.588,0.686,0.499,-0.102,0.895
Liberia,2015,2.702,0.638,0.671,-0.067,0.903
Liberia,2016,3.355,0.643,0.763,0.028,0.901
Liberia,2017,4.424,0.685,0.733,-0.018,0.867
Liberia,2018,4.135,0.727,0.766,0.044,0.868
Liberia,2019,5.121,0.712,0.706,0.044,0.828
Liberia,2022,4.042,0.597,0.732,0.15,0.828
Liberia,2023,4.494,0.63,0.72,0.039,0.834
Lithuania,2015,5.711,0.929,0.641,-0.259,0.924
Lithuania,2016,5.866,0.938,0.614,-0.272,0.949
Lithuania,2017,6.273,0.926,0.749,-0.179,0.79
Lithuania,2018,6.309,0.929,0.699,-0.243,0.852
Lithuania,2019,6.064,0.918,0.78,-0.258,0.783
Lithuania,2020,6.391,0.953,0.824,-0.129,0.829
Lithuania,2021,6.865,0.928,0.707,-0.121,0.878
Lithuania,2022,7.038,0.937,0.71,-0.192,0.685
Lithuania,2023,6.553,0.881,0.734,-0.232,0.751
Luxembourg,2015,6.702,0.934,0.932,0.044,0.375
Luxembourg,2016,6.967,0.941,0.882,0.011,0.356
Luxembourg,2017,7.061,0.905,0.903,0.036,0.33
Luxembourg,2018,7.243,0.902,0.884,-0.028,0.385
Luxembourg,2019,7.404,0.912,0.93,-0.051,0.39
Luxembourg,2022,7.228,0.878,0.915,0.023,0.345
Luxembourg,2023,7.016,0.879,0.911,0.033,0.343
Madagascar,2015,3.593,0.647,0.545,-0.044,0.861
Madagascar,2016,3.663,0.746,0.57,-0.072,0.864
Madagascar,2017,4.079,0.626,0.57,-0.037,0.847
Madagascar,2018,4.071,0.666,0.551,0.0,0.889
Madagascar,2019,4.339,0.701,0.55,-0.015,0.72
Madagascar,2022,4.019,0.642,0.523,0.07,0.74
Madagascar,2023,4.433,0.692,0.504,0.096,0.784
Malawi,2015,3.868,0.494,0.801,0.029,0.835
Malawi,2016,3.476,0.524,0.81,0.037,0.824
Malawi,2017,3.417,0.555,0.848,-0.004,0.735
Malawi,2018,3.335,0.528,0.799,0.043,0.766
Malawi,2019,3.869,0.549,0.765,-0.027,0.68
Malawi,2021,3.635,0.558,0.757,-0.014,0.74
Malawi,2022,3.356,0.503,0.744,0.017,0.755
Malawi,2023,3.272,0.47,0.738,0.014,0.745
Malaysia,2015,6.322,0.818,0.675,0.218,0.838
Malaysia,2018,5.339,0.789,0.875,0.123,0.894
Malaysia,2019,5.428,0.842,0.916,0.119,0.782
Malaysia,2020,6.014,0.797,0.878,0.096,0.747
Malaysia,2021,6.01,0.794,0.878,0.218,0.769
Malaysia,2022,6.048,0.815,0.957,0.208,0.789
Malaysia,2023,5.868,0.779,0.965,0.154,0.754
Mali,2015,4.582,0.83,0.634,-0.07,0.8
Mali,2016,4.016,0.836,0.696,-0.072,0.862
Mali,2017,4.742,0.741,0.753,-0.072,0.863
Mali,2018,4.416,0.692,0.737,-0.036,0.793
Mali,2019,4.988,0.755,0.67,-0.04,0.846
Mali,2020,4.269,0.568,0.645,-0.069,0.895
Mali,2021,4.113,0.573,0.673,-0.004,0.902
Mali,2022,4.211,0.642,0.818,-0.024,0.746
Mali,2023,4.37,0.641,0.776,-0.043,0.79
Malta,2015,6.613,0.919,0.912,0.339,0.664
Malta,2016,6.591,0.93,0.916,0.339,0.696
Malta,2017,6.676,0.937,0.924,0.244,0.69
Malta,2018,6.91,0.932,0.927,0.17,0.595
Malta,2019,6.733,0.922,0.924,0.077,0.689
Malta,2020,6.157,0.938,0.931,-0.005,0.675
Malta,2021,6.444,0.897,0.889,0.239,0.753
Malta,2022,6.299,0.932,0.838,0.246,0.758
Mauritania,2015,3.923,0.875,0.447,0.05,0.715
Mauritania,2016,4.472,0.785,0.467,-0.181,0.842
Mauritania,2017,4.678,0.779,0.527,-0.161,0.777
Mauritania,2018,4.314,0.802,0.467,-0.121,0.711
Mauritania,2019,4.153,0.798,0.628,-0.111,0.743
Mauritania,2022,4.724,0.648,0.624,-0.016,0.657
Mauritania,2023,4.292,0.606,0.54,0.018,0.669
Mauritius,2016,5.61,0.836,0.819,0.131,0.891
Mauritius,2017,6.174,0.91,0.912,0.079,0.818
Mauritius,2018,5.882,0.909,0.867,-0.081,0.785
Mauritius,2019,6.241,0.913,0.893,-0.061,0.81
Mauritius,2020,6.015,0.893,0.843,-0.038,0.772
Mauritius,2021,5.949,0.887,0.802,-0.013,0.784
Mauritius,2022,5.741,0.887,0.798,-0.042,0.769
Mauritius,2023,5.759,0.868,0.797,-0.002,0.769
Mexico,2015,6.236,0.761,0.719,-0.158,0.708
Mexico,2016,6.824,0.893,0.752,-0.16,0.809
Mexico,2017,6.41,0.8,0.861,-0.208,0.801
Mexico,2018,6.55,0.858,0.816,-0.186,0.809
Mexico,2019,6.432,0.852,0.903,-0.148,0.809
Mexico,2020,5.964,0.779,0.873,-0.128,0.778
Mexico,2021,5.991,0.779,0.837,-0.037,0.745
Mexico,2022,7.038,0.858,0.861,-0.123,0.78
Mexico,2023,7.006,0.868,0.87,-0.124,0.756
Moldova,2015,6.017,0.84,0.595,-0.094,0.943
Moldova,2016,5.578,0.837,0.557,-0.052,0.969
Moldova,2017,5.326,0.831,0.553,-0.057,0.926
Moldova,2018,5.682,0.892,0.824,-0.089,0.929
Moldova,2019,5.803,0.809,0.784,-0.097,0.884
Moldova,2020,5.812,0.874,0.859,-0.058,0.941
Moldova,2021,5.959,0.88,0.833,-0.096,0.875
Moldova,2022,5.687,0.817,0.829,-0.084,0.885
Moldova,2023,5.801,0.842,0.844,-0.157,0.86
Mongolia,2015,4.983,0.906,0.686,0.167,0.9
Mongolia,2016,5.057,0.947,0.76,0.083,0.9
Mongolia,2017,5.334,0.924,0.675,0.112,0.865
Mongolia,2018,5.465,0.942,0.696,0.048,0.849
Mongolia,2019,5.563,0.946,0.711,0.142,0.873
Mongolia,2020,6.011,0.918,0.718,0.138,0.843
Mongolia,2021,5.721,0.927,0.667,0.215,0.851
Mongolia,2022,5.788,0.951,0.717,0.211,0.847
Mongolia,2023,5.58,0.938,0.699,0.22,0.871
Montenegro,2015,5.125,0.74,0.583,-0.15,0.781
Montenegro,2016,5.304,0.866,0.569,-0.093,0.849
Montenegro,2017,5.615,0.881,0.626,-0.089,0.756
Montenegro,2018,5.65,0.856,0.626,-0.057,0.769
Montenegro,2019,5.386,0.832,0.694,-0.111,0.82
Montenegro,2020,5.722,0.887,0.802,0.061,0.845
Montenegro,2022,5.6,0.875,0.778,-0.022,0.802
Montenegro,2023,5.813,0.853,0.799,-0.066,0.706
Morocco,2015,5.163,0.606,0.713,-0.239,0.842
Morocco,2016,5.386,0.655,0.817,-0.248,0.717
Morocco,2017,5.312,0.641,0.814,-0.227,0.841
Morocco,2018,4.897,0.554,0.773,-0.246,0.843
Morocco,2019,5.057,0.535,0.757,-0.256,0.757
Morocco,2020,4.803,0.553,0.819,-0.238,0.803
Morocco,2021,5.326,0.505,0.762,-0.204,0.817
Morocco,2022,4.596,0.564,0.795,-0.257,0.802
Morocco,2023,4.487,0.5,0.821,-0.094,0.831
Mozambique,2015,4.55,0.666,0.813,0.083,0.632
Mozambique,2017,4.28,0.678,0.823,-0.035,0.682
Mozambique,2018,4.654,0.738,0.897,0.043,0.691
Mozambique,2019,4.932,0.742,0.87,0.068,0.682
Mozambique,2021,5.178,0.664,0.838,0.042,0.627
Mozambique,2022,4.74,0.711,0.884,0.043,0.688
Mozambique,2023,5.704,0.701,0.867,0.071,0.678
Myanmar,2015,4.224,0.752,0.808,0.692,0.633
Myanmar,2016,4.623,0.793,0.877,0.68,0.607
Myanmar,2017,4.154,0.795,0.886,0.651,0.619
Myanmar,2018,4.411,0.774,0.906,0.492,0.647
Myanmar,2019,4.434,0.763,0.899,0.56,0.682
Myanmar,2020,4.431,0.796,0.825,0.468,0.647
Myanmar,2021,4.314,0.78,0.631,0.508,0.671
Myanmar,2022,4.359,0.746,0.646,0.6,0.729
Myanmar,2023,4.391,0.685,0.695,0.548,0.686
Namibia,2017,4.441,0.828,0.81,-0.198,0.831
Namibia,2018,4.834,0.864,0.754,-0.177,0.846
Namibia,2019,4.436,0.845,0.739,-0.182,0.879
Namibia,2020,4.451,0.741,0.666,-0.11,0.81
Namibia,2021,4.491,0.808,0.659,-0.153,0.829
Namibia,2022,4.949,0.808,0.683,-0.124,0.849
Namibia,2023,5.055,0.852,0.674,-0.113,0.873
Nepal,2015,4.812,0.748,0.763,0.214,0.824
Nepal,2016,5.1,0.837,0.839,0.155,0.817
Nepal,2017,4.737,0.816,0.845,0.12,0.77
Nepal,2018,4.91,0.768,0.77,0.107,0.742
Nepal,2019,5.449,0.772,0.79,0.152,0.712
Nepal,2020,5.982,0.787,0.772,0.135,0.812
Nepal,2021,4.622,0.699,0.818,0.144,0.77
Nepal,2022,5.474,0.753,0.844,0.149,0.76
Nepal,2023,5.389,0.749,0.765,0.184,0.792
Netherlands,2015,7.324,0.879,0.904,0.256,0.412
Netherlands,2016,7.541,0.926,0.907,0.233,0.433
Netherlands,2017,7.459,0.937,0.92,0.245,0.363
Netherlands,2018,7.463,0.939,0.92,0.156,0.371
Netherlands,2019,7.425,0.941,0.886,0.207,0.36
Netherlands,2020,7.504,0.944,0.935,0.145,0.281
Netherlands,2021,7.314,0.919,0.856,0.266,0.397
Netherlands,2022,7.39,0.929,0.868,0.223,0.459
Netherlands,2023,7.255,0.915,0.847,0.223,0.424
New Zealand,2015,7.418,0.987,0.942,0.322,0.186
New Zealand,2016,7.226,0.937,0.927,0.259,0.278
New Zealand,2017,7.327,0.955,0.942,0.287,0.222
New Zealand,2018,7.37,0.954,0.949,0.113,0.207
New Zealand,2019,7.205,0.939,0.912,0.15,0.234
New Zealand,2020,7.257,0.952,0.918,0.116,0.283
New Zealand,2021,7.137,0.95,0.91,0.216,0.252
New Zealand,2022,6.975,0.956,0.831,0.183,0.281
New Zealand,2023,6.976,0.933,0.877,0.181,0.304
Nicaragua,2015,5.924,0.827,0.809,0.073,0.728
Nicaragua,2016,6.013,0.853,0.717,0.035,0.731
Nicaragua,2017,6.476,0.838,0.922,0.006,0.673
Nicaragua,2018,5.819,0.854,0.797,0.004,0.713
Nicaragua,2019,6.113,0.874,0.883,0.024,0.622
Nicaragua,2020,6.287,0.856,0.818,0.037,0.631
Nicaragua,2021,6.095,0.848,0.905,0.02,0.675
Nicaragua,2022,6.392,0.844,0.914,-0.004,0.57
Nicaragua,2023,6.362,0.836,0.906,-0.008,0.532
Niger,2015,3.671,0.713,0.728,-0.037,0.703
Niger,2016,4.235,0.683,0.702,-0.02,0.814
Niger,2017,4.616,0.582,0.684,-0.035,0.778
Niger,2018,5.164,0.612,0.791,0.004,0.637
Niger,2019,5.004,0.677,0.831,0.021,0.729
Niger,2022,4.501,0.587,0.793,0.024,0.74
Nigeria,2015,4.933,0.812,0.68,-0.04,0.926
Nigeria,2016,5.22,0.805,0.798,0.039,0.905
Nigeria,2017,5.322,0.733,0.826,0.12,0.835
Nigeria,2018,5.252,0.741,0.79,-0.015,0.866
Nigeria,2019,4.266,0.735,0.746,0.019,0.873
Nigeria,2020,5.503,0.739,0.713,0.094,0.913
Nigeria,2021,4.479,0.742,0.726,0.047,0.912
Nigeria,2022,5.294,0.785,0.776,0.172,0.935
Nigeria,2023,4.869,0.781,0.72,0.209,0.877
North Macedonia,2015,4.976,0.766,0.66,-0.053,0.824
North Macedonia,2016,5.346,0.871,0.706,0.073,0.87
North Macedonia,2017,5.234,0.8,0.752,-0.065,0.856
North Macedonia,2018,5.24,0.849,0.745,-0.048,0.91
North Macedonia,2019,5.015,0.815,0.725,0.018,0.923
North Macedonia,2020,5.054,0.75,0.787,0.127,0.877
North Macedonia,2021,5.535,0.809,0.793,0.188,0.884
North Macedonia,2022,5.167,0.85,0.723,0.068,0.937
North Macedonia,2023,5.403,0.883,0.738,0.123,0.917
Norway,2015,7.603,0.947,0.948,0.249,0.299
Norway,2016,7.596,0.96,0.954,0.125,0.41
Norway,2017,7.579,0.95,0.953,0.228,0.25
Norway,2018,7.444,0.966,0.96,0.086,0.268
Norway,2019,7.442,0.942,0.954,0.103,0.271
Norway,2020,7.29,0.956,0.965,0.068,0.271
Norway,2021,7.362,0.948,0.936,0.166,0.263
Norway,2022,7.295,0.927,0.939,0.182,0.314
Norway,2023,7.249,0.952,0.938,0.219,0.245
Pakistan,2015,4.823,0.562,0.587,0.076,0.717
Pakistan,2016,5.549,0.627,0.634,0.084,0.793
Pakistan,2017,5.831,0.69,0.713,0.035,0.714
Pakistan,2018,5.472,0.685,0.773,0.058,0.799
Pakistan,2019,4.443,0.617,0.685,0.112,0.776
Pakistan,2020,4.624,0.594,0.767,0.003,0.833
Pakistan,2021,4.487,0.608,0.764,0.007,0.743
Pakistan,2022,4.931,0.59,0.745,0.0,0.865
Pakistan,2023,4.549,0.553,0.661,0.07,0.889
Panama,2015,6.606,0.883,0.847,-0.016,0.81
Panama,2016,6.118,0.882,0.884,-0.111,0.837
Panama,2017,6.568,0.912,0.9,-0.178,0.841
Panama,2018,6.281,0.904,0.861,-0.139,0.837
Panama,2019,6.086,0.886,0.883,-0.208,0.869
Panama,2021,6.553,0.899,0.811,-0.152,0.861
Panama,2022,5.979,0.891,0.899,-0.128,0.887
Panama,2023,6.543,0.887,0.852,-0.147,0.871
Paraguay,2015,5.56,0.914,0.806,-0.019,0.863
Paraguay,2016,5.801,0.94,0.854,-0.082,0.756
Paraguay,2017,5.713,0.902,0.891,-0.008,0.81
Paraguay,2019,5.653,0.892,0.876,0.017,0.882
Paraguay,2020,5.501,0.907,0.865,0.054,0.829
Paraguay,2021,5.576,0.908,0.888,0.015,0.857
Paraguay,2022,6.138,0.899,0.922,-0.014,0.839
Paraguay,2023,6.214,0.889,0.902,-0.004,0.835
Peru,2015,5.577,0.798,0.802,-0.095,0.884
Peru,2016,5.701,0.803,0.83,-0.139,0.866
Peru,2017,5.711,0.83,0.827,-0.16,0.895
Peru,2018,5.68,0.845,0.83,-0.184,0.906
Peru,2019,5.999,0.809,0.815,-0.135,0.874
Peru,2020,4.994,0.749,0.806,-0.094,0.912
Peru,2021,5.694,0.819,0.812,-0.09,0.88
Peru,2022,5.892,0.823,0.764,-0.18,0.884
Peru,2023,5.936,0.787,0.757,-0.061,0.919
Philippines,2015,5.547,0.854,0.912,-0.056,0.755
Philippines,2016,5.431,0.821,0.908,-0.076,0.792
Philippines,2017,5.594,0.851,0.926,-0.146,0.711
Philippines,2018,5.869,0.846,0.918,-0.112,0.726
Philippines,2019,6.268,0.845,0.91,-0.087,0.748
Philippines,2020,5.08,0.781,0.932,-0.114,0.744
Philippines,2021,5.965,0.778,0.905,-0.012,0.721
Philippines,2022,5.995,0.819,0.952,-0.155,0.757
Philippines,2023,6.184,0.796,0.932,-0.038,0.768
Poland,2015,6.007,0.893,0.793,-0.098,0.81
Poland,2016,6.162,0.917,0.871,-0.096,0.848
Poland,2017,6.201,0.882,0.831,-0.127,0.639
Poland,2018,6.111,0.863,0.87,-0.26,0.72
Poland,2019,6.242,0.878,0.883,-0.237,0.696
Poland,2020,6.139,0.953,0.767,-0.014,0.787
Poland,2021,5.978,0.936,0.732,0.122,0.744
Poland,2022,6.666,0.886,0.8,-0.209,0.667
Poland,2023,6.685,0.89,0.775,-0.232,0.662
Portugal,2015,5.081,0.866,0.8,-0.169,0.941
Portugal,2016,5.447,0.905,0.838,-0.231,0.922
Portugal,2017,5.711,0.9,0.905,-0.182,0.881
Portugal,2018,5.92,0.887,0.877,-0.267,0.88
Portugal,2019,6.095,0.876,0.882,-0.24,0.915
Portugal,2020,5.768,0.875,0.913,-0.244,0.867
Portugal,2021,6.183,0.895,0.892,-0.211,0.872
Portugal,2022,5.953,0.862,0.903,-0.139,0.893
Portugal,2023,5.954,0.895,0.847,-0.176,0.889
Romania,2015,5.777,0.787,0.796,-0.147,0.962
Romania,2016,5.969,0.809,0.822,-0.12,0.949
Romania,2017,6.09,0.811,0.839,-0.165,0.926
Romania,2018,6.151,0.818,0.845,-0.224,0.921
Romania,2019,6.13,0.842,0.848,-0.228,0.954
Romania,2020,6.785,0.869,0.863,-0.161,0.918
Romania,2021,6.549,0.835,0.871,-0.187,0.928
Romania,2022,6.437,0.83,0.836,-0.173,0.941
Romania,2023,6.489,0.826,0.849,-0.202,0.905
Russia,2015,5.996,0.924,0.685,-0.177,0.913
Russia,2016,5.855,0.911,0.714,-0.187,0.925
Russia,2017,5.579,0.896,0.731,-0.151,0.862
Russia,2018,5.514,0.909,0.729,-0.153,0.865
Russia,2019,5.441,0.91,0.715,-0.122,0.848
Russia,2020,5.495,0.887,0.714,-0.078,0.823
Russia,2021,5.448,0.862,0.671,0.053,0.808
Russia,2022,6.044,0.92,0.776,-0.074,0.767
Russia,2023,5.865,0.854,0.75,0.056,0.733
Senegal,2015,4.617,0.702,0.72,-0.117,0.765
Senegal,2016,4.595,0.839,0.744,-0.092,0.794
Senegal,2017,4.683,0.744,0.687,-0.05,0.825
Senegal,2018,4.769,0.739,0.629,-0.08,0.805
Senegal,2019,5.489,0.688,0.759,-0.025,0.796
Senegal,2020,4.757,0.621,0.797,-0.052,0.855
Senegal,2021,4.903,0.645,0.759,0.026,0.821
Senegal,2022,4.907,0.609,0.758,0.049,0.854
Senegal,2023,5.093,0.668,0.798,0.048,0.836
Serbia,2015,5.318,0.816,0.546,-0.068,0.859
Serbia,2016,5.753,0.895,0.614,-0.074,0.89
Serbia,2017,5.122,0.884,0.685,-0.084,0.851
Serbia,2018,5.936,0.853,0.74,-0.106,0.864
Serbia,2019,6.241,0.903,0.753,-0.046,0.813
Serbia,2020,6.042,0.852,0.843,0.142,0.824
Serbia,2021,6.245,0.89,0.85,0.261,0.806
Serbia,2022,6.546,0.896,0.782,0.074,0.801
Serbia,2023,6.441,0.895,0.807,0.085,0.782
Sierra Leone,2015,4.909,0.611,0.624,0.047,0.825
Sierra Leone,2016,4.733,0.657,0.681,0.103,0.863
Sierra Leone,2017,4.09,0.652,0.711,0.076,0.848
Sierra Leone,2018,4.306,0.65,0.716,0.093,0.856
Sierra Leone,2019,3.447,0.611,0.718,0.072,0.874
Sierra Leone,2021,3.714,0.609,0.659,0.106,0.851
Sierra Leone,2022,2.56,0.502,0.66,0.097,0.862
Sierra Leone,2023,3.467,0.601,0.694,0.101,0.866
Singapore,2015,6.62,0.866,0.887,0.144,0.099
Singapore,2016,6.033,0.925,0.904,0.137,0.047
Singapore,2017,6.378,0.897,0.926,0.129,0.162
Singapore,2018,6.375,0.903,0.916,-0.073,0.097
Singapore,2019,6.378,0.925,0.938,0.02,0.07
Singapore,2021,6.587,0.876,0.879,0.06,0.145
Slovakia,2015,6.162,0.943,0.587,-0.132,0.928
Slovakia,2016,5.993,0.945,0.7,-0.065,0.917
Slovakia,2017,6.366,0.913,0.714,-0.059,0.92
Slovakia,2018,6.235,0.922,0.758,-0.172,0.91
Slovakia,2019,6.243,0.933,0.771,-0.133,0.926
Slovakia,2020,6.519,0.954,0.762,-0.081,0.901
Slovakia,2021,6.419,0.951,0.742,0.042,0.896
Slovakia,2022,6.091,0.961,0.732,-0.129,0.841
Slovakia,2023,6.261,0.941,0.753,-0.136,0.825
Slovenia,2015,5.741,0.901,0.896,0.002,0.892
Slovenia,2016,5.937,0.934,0.904,-0.06,0.838
Slovenia,2017,6.167,0.928,0.921,-0.031,0.829
Slovenia,2018,6.249,0.941,0.942,-0.125,0.839
Slovenia,2019,6.665,0.949,0.945,-0.108,0.785
Slovenia,2020,6.462,0.953,0.958,-0.09,0.797
Slovenia,2021,6.761,0.955,0.851,0.026,0.754
Slovenia,2022,6.723,0.942,0.93,0.099,0.762
Slovenia,2023,6.746,0.911,0.931,0.031,0.75
South Africa,2015,4.887,0.898,0.862,-0.138,0.853
South Africa,2016,4.77,0.875,0.774,-0.082,0.813
South Africa,2017,4.514,0.87,0.787,-0.141,0.865
South Africa,2018,4.884,0.841,0.753,-0.063,0.841
South Africa,2019,5.035,0.848,0.738,-0.147,0.82
South Africa,2020,4.947,0.891,0.757,-0.03,0.912
South Africa,2021,5.599,0.922,0.704,-0.148,0.892
South Africa,2022,5.581,0.887,0.713,-0.071,0.908
South Africa,2023,5.076,0.839,0.748,-0.109,0.861
South Korea,2015,5.78,0.768,0.616,-0.041,0.841
South Korea,2016,5.971,0.811,0.591,0.02,0.862
South Korea,2017,5.874,0.807,0.538,0.008,0.851
South Korea,2018,5.84,0.798,0.6,-0.095,0.797
South Korea,2019,5.903,0.783,0.706,-0.061,0.718
South Korea,2020,5.793,0.808,0.711,-0.112,0.665
South Korea,2021,6.113,0.811,0.717,-0.033,0.685
South Korea,2022,5.95,0.81,0.723,0.002,0.747
South Korea,2023,6.112,0.799,0.762,-0.004,0.714
Spain,2015,6.381,0.956,0.732,-0.078,0.822
Spain,2016,6.319,0.942,0.768,-0.054,0.819
Spain,2017,6.23,0.903,0.756,-0.038,0.791
Spain,2018,6.513,0.91,0.722,-0.081,0.777
Spain,2019,6.457,0.949,0.778,-0.054,0.73
Spain,2020,6.502,0.935,0.783,-0.127,0.73
Spain,2021,6.47,0.926,0.782,-0.076,0.729
Spain,2022,6.337,0.934,0.781,-0.001,0.673
Spain,2023,6.456,0.912,0.779,-0.004,0.675
Sri Lanka,2015,4.612,0.863,0.902,0.312,0.859
Sri Lanka,2017,4.331,0.823,0.827,0.083,0.844
Sri Lanka,2018,4.435,0.833,0.859,0.096,0.856
Sri Lanka,2019,4.213,0.815,0.824,0.043,0.863
Sri Lanka,2020,4.778,0.842,0.803,-0.05,0.768
Sri Lanka,2021,4.103,0.812,0.771,-0.013,0.849
Sri Lanka,2022,3.985,0.825,0.74,0.038,0.9
Sri Lanka,2023,3.602,0.79,0.754,0.05,0.922
Sweden,2015,7.289,0.929,0.935,0.206,0.232
Sweden,2016,7.369,0.912,0.918,0.141,0.246
Sweden,2017,7.287,0.914,0.935,0.165,0.239
Sweden,2018,7.375,0.931,0.942,0.072,0.263
Sweden,2019,7.398,0.934,0.942,0.085,0.25
Sweden,2020,7.314,0.936,0.951,0.084,0.203
Sweden,2021,7.439,0.932,0.953,0.172,0.191
Sweden,2022,7.431,0.949,0.939,0.232,0.213
Sweden,2023,7.161,0.927,0.926,0.147,0.253
Switzerland,2015,7.572,0.938,0.928,0.102,0.21
Switzerland,2016,7.459,0.928,0.934,0.081,0.302
Switzerland,2017,7.474,0.95,0.925,0.173,0.316
Switzerland,2018,7.509,0.93,0.926,0.094,0.301
Switzerland,2019,7.694,0.949,0.913,0.029,0.294
Switzerland,2020,7.508,0.946,0.917,-0.073,0.28
Switzerland,2021,7.328,0.934,0.908,0.024,0.287
Switzerland,2022,6.884,0.881,0.848,0.128,0.235
Switzerland,2023,6.969,0.904,0.891,0.104,0.247
Tajikistan,2015,5.124,0.844,0.847,0.013,0.742
Tajikistan,2016,5.104,0.857,0.703,0.001,0.632
Tajikistan,2017,5.829,0.663,0.832,0.116,0.718
Tajikistan,2018,5.497,0.875,,-0.074,0.578
Tajikistan,2019,5.464,0.88,,-0.054,0.49
Tajikistan,2020,5.373,0.79,,-0.054,0.55
Tajikistan,2021,5.287,0.883,,-0.071,0.499
Tajikistan,2022,5.176,0.865,,-0.003,0.397
Tajikistan,2023,5.379,0.871,,-0.054,0.482
Tanzania,2015,3.661,0.79,0.759,0.145,0.906
Tanzania,2016,2.903,0.638,0.775,0.175,0.739
Tanzania,2017,3.347,0.705,0.8,0.112,0.654
Tanzania,2018,3.445,0.675,0.807,0.15,0.612
Tanzania,2019,3.64,0.687,0.85,0.097,0.589
Tanzania,2020,3.786,0.74,0.83,0.293,0.521
Tanzania,2021,3.681,0.619,0.822,0.11,0.546
Tanzania,2022,3.616,0.6,0.856,0.133,0.584
Tanzania,2023,4.042,0.663,0.862,0.122,0.609
Thailand,2015,6.202,0.866,0.885,0.312,0.914
Thailand,2016,6.074,0.908,0.924,0.352,0.878
Thailand,2017,5.939,0.877,0.923,0.208,0.884
Thailand,2018,6.012,0.873,0.905,0.255,0.907
Thailand,2019,6.022,0.903,0.898,0.305,0.877
Thailand,2020,5.885,0.867,0.84,0.27,0.918
Thailand,2021,5.638,0.883,0.836,0.29,0.943
Thailand,2022,6.007,0.867,0.881,0.299,0.868
Thailand,2023,6.282,0.873,0.926,0.338,0.889
Togo,2015,3.768,0.479,0.772,-0.092,0.733
Togo,2016,3.879,0.509,0.73,-0.031,0.815
Togo,2017,4.361,0.508,0.717,-0.066,0.726
Togo,2018,4.023,0.596,0.612,-0.031,0.809
Togo,2019,4.179,0.539,0.617,0.041,0.737
Togo,2021,4.037,0.603,0.619,0.037,0.766
